YEAR,SPINDEX,DIFFINDEX,LNSPINDEX,DIFFLNSP
1998.416667,1133.839966,32.0899658,7.033365351,0.028710247
1998.666667,1017.01001,-116.829956,6.924622238,-0.108743112
1998.916667,1229.229981,212.2199707,7.11414322,0.189520982
1999.166667,1286.369995,57.1400146,7.159579573,0.045436353
1999.416667,1372.709961,86.3399658,7.224542139,0.064962565
1999.666667,1282.709961,-90,7.156730276,-0.067811863
1999.916667,1469.25,186.5400391,7.292507345,0.13577707
2000.166667,1498.579956,29.3299561,7.312273243,0.019765897
2000.416667,1454.599976,-43.9799805,7.282486211,-0.029787032
2000.666667,1436.51001,-18.0899658,7.269971847,-0.012514364
2000.916667,1320.280029,-116.2299805,7.185599136,-0.08437271
2001.166667,1160.329956,-159.9500732,7.056459689,-0.129139448
2001.416667,1224.420044,64.0900878,7.110222577,0.053762889
2001.666667,1040.939941,-183.4801025,6.947879374,-0.162343204
2001.916667,1148.079956,107.1400147,7.045846223,0.097966849
2002.166667,1147.390015,-0.6899415,7.045245089,-0.000601133
2002.416667,989.8099976,-157.580017,6.897513003,-0.147732086
2002.666667,815.289978,-174.5200195,6.703543851,-0.193969152
2002.916667,879.8200073,64.53002929,6.779717349,0.076173498
2003.166667,848.1799927,-31.64001464,6.743092869,-0.036624481
2003.416667,974.5,126.3200073,6.881924519,0.13883165
2003.666667,995.9699707,21.4699707,6.903717107,0.021792588
2003.916667,1111.920044,115.9500732,7.013843569,0.110126462
2004.166667,1126.209961,14.289917,7.026613257,0.012769688
2004.416667,1140.839966,14.6300049,7.039520082,0.012906825
2004.666667,1114.579956,-26.2600097,7.016232892,-0.02328719
2004.916667,1211.920044,97.3400878,7.099961194,0.083728302
2005.166667,1180.589966,-31.3300781,7.073769564,-0.026191631
2005.416667,1191.329956,10.7399903,7.082825572,0.009056009
2005.666667,1228.810059,37.4801025,7.113801548,0.030975976
2005.916667,1248.290039,19.4799805,7.129529925,0.015728377
2006.166667,1294.829956,46.539917,7.166134657,0.036604732
2006.416667,1270.199951,-24.6300049,7.146929609,-0.019205049
2006.666667,1335.849976,65.6500244,7.197323054,0.050393445
2006.916667,1418.300049,82.4500732,7.257214285,0.059891231
